ScientificName
Ficus carica
Ambrosia trifida
Amphiachyris dracunculoides
Anaphalis margaritacea
Antennaria howellii
Antennaria howellii subsp. neodioica
Antennaria howellii subsp. petaloidea
Antennaria neglecta
Antennaria parlinii
Antennaria parlinii subsp. fallax
Antennaria parlinii subsp. parlinii
Antennaria plantaginifolia
Antennaria solitaria
Anthemis arvensis
Anthemis cotula
Arctium lappa
Arctium minus
Arnoglossum atriplicifolium
Arnoglossum plantagineum
Arnoglossum reniforme
Artemisia abrotanum
Artemisia absinthium
Artemisia annua
Artemisia biennis
Artemisia campestris
Artemisia campestris subsp. caudata
Artemisia carruthii
Artemisia ludoviciana
Artemisia ludoviciana subsp. ludoviciana
Artemisia vulgaris
Aster tataricus
Bellis perennis
Bidens aristosa
Bidens beckii
Bidens bipinnata
Bidens cernua
Bidens connata
Bidens discoidea
Bidens frondosa
Bidens laevis
Bidens polylepis
Bidens trichosperma
Bidens tripartita
Bidens vulgata
Boltonia asteroides
Boltonia asteroides var. recognita
Boltonia diffusa
Brickellia eupatorioides
Brickellia eupatorioides var. corymbulosa
Brickellia eupatorioides var. eupatorioides
Carduus nutans
Centaurea cyanus
Centaurea diffusa
Centaurea jacea
Centaurea nigrescens
Centaurea solstitialis
Centaurea stoebe
Centaurea stoebe subsp. micranthos
Chamaemelum nobile
Cichorium intybus
Cirsium altissimum
Cirsium arvense
Cirsium carolinianum
Cirsium discolor
Cirsium muticum
Cirsium pitcheri
Cirsium pumilum
Cirsium pumilum var. hillii
Cirsium undulatum
Cirsium vulgare
Conoclinium coelestinum
Conyza canadensis
Conyza ramosissima
Coreopsis grandiflora
Coreopsis grandiflora var. harveyana
Coreopsis lanceolata
Coreopsis palmata
Coreopsis pubescens
Coreopsis tinctoria
Coreopsis tripteris
Cosmos bipinnatus
Crepis capillaris
Crepis pulchra
Crepis tectorum
Cyclachaena xanthiifolia
Doellingeria umbellata
Doellingeria umbellata var. umbellata
Dyssodia papposa
Echinacea pallida
Echinacea purpurea
Eclipta prostrata
Elephantopus carolinianus
Erechtites hieraciifolius
Erechtites hieraciifolius var. hieraciifolius
Erigeron annuus
Erigeron philadelphicus
Erigeron philadelphicus var. philadelphicus
Erigeron pulchellus
Erigeron pulchellus var. pulchellus
Erigeron strigosus
Erigeron strigosus var. strigosus
Eupatorium album
Eupatorium album var. album
Eupatorium altissimum
Eupatorium hyssopifolium
Eupatorium hyssopifolium var. hyssopifolium
Eupatorium perfoliatum
Eupatorium rotundifolium
Eupatorium serotinum
Eupatorium sessilifolium
Eupatorium × truncatum
Eurybia furcata
Eurybia macrophylla
Eurybia schreberi
Euthamia caroliniana
Euthamia graminifolia
Euthamia gymnospermoides
Eutrochium fistulosum
Eutrochium maculatum
Eutrochium maculatum var. maculatum
Eutrochium purpureum
Eutrochium purpureum var. purpureum
Fleischmannia incarnata
Gaillardia pulchella
Galinsoga parviflora
Galinsoga parviflora var. parviflora
Galinsoga quadriradiata
Gamochaeta purpurea
Gnaphalium uliginosum
